History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;82571;Hardware;2.08;Software;1.52;Protocol;106;Pulse rate;100;Country code;49;PCM;2.0.0;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0100-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Duration refueling operation in sec;board temperature [°C];time till shutdown [min];Recovery rate (+);Recovery rate (-);
;;;;;;;;;;;;;;;
83237;15.05.2024;0;162;105;89,8;20,7;39;33;31,51;27;0;NOLIM;105;;
83237;15.05.2024;0;161;97;88,7;20,1;47;32,1;33,11;93;0;NOLIM;97;;
83237;15.05.2024;0;160;101;89,3;20,4;37;33,5;33,06;75;0;NOLIM;101;;
83237;15.05.2024;0;159;96;89,1;20,2;48;30,6;31,88;91;0;NOLIM;96;;
83237;15.05.2024;0;158;102;89,8;20;38;33,5;32,99;107;0;NOLIM;102;;
83237;15.05.2024;0;157;100;89,4;18,5;40;30;30,01;100;0;NOLIM;100;;
83237;15.05.2024;0;156;102;89,5;18,2;37;29,8;29,36;52;0;NOLIM;102;;
83237;15.05.2024;0;155;98;89;17,4;47;29,3;29,99;87;0;NOLIM;98;;
83237;15.05.2024;0;154;101;89,6;17,2;38;30,3;30,01;43;0;NOLIM;101;;
83237;15.05.2024;0;153;95;89,5;16,5;49;28,4;30,01;88;0;NOLIM;95;;
83237;15.05.2024;0;152;101;90,7;19,8;39;30,2;30,04;43;0;NOLIM;101;;
83237;15.05.2024;0;151;101;90,6;20,6;43;30,2;29,91;57;0;NOLIM;101;;
83237;14.05.2024;0;150;102;90,5;21,8;45;29,6;28,96;33;0;NOLIM;102;;
83237;14.05.2024;0;149;100;89,9;22,1;48;30,2;30,28;40;0;NOLIM;100;;
83237;14.05.2024;0;148;102;89,9;22;44;30,4;29,8;53;0;NOLIM;102;;
83237;14.05.2024;0;147;98;89,5;21,7;46;29,3;29,74;96;0;NOLIM;98;;
83237;14.05.2024;0;146;95;89,7;22,2;50;28,5;30,04;114;0;NOLIM;95;;
83237;14.05.2024;0;145;96;91;22,7;53;28,4;29,48;41;0;NOLIM;96;;
83237;14.05.2024;0;144;96;92;22,6;47;28,9;30,09;63;0;NOLIM;96;;
83237;14.05.2024;0;143;98;92,9;24,3;46;28,1;28,79;55;0;NOLIM;98;;
83237;14.05.2024;0;142;100;93,6;24,7;38;29,4;29,45;45;0;NOLIM;100;;
83237;14.05.2024;1;141;116;93,8;25,3;27;33,9;29,22;25;0;NOLIM;116;;
83237;14.05.2024;0;140;103;90;24,9;43;29,4;28,64;44;0;NOLIM;103;;
83237;14.05.2024;0;139;108;89,4;24,5;42;32;29,71;42;0;NOLIM;108;;
83237;14.05.2024;0;138;100;87,8;24,2;49;30,2;30,25;83;0;NOLIM;100;;
83237;14.05.2024;0;137;101;88,1;23,7;46;30,2;29,88;96;0;NOLIM;101;;
83237;14.05.2024;0;136;99;87,8;23,4;50;29,8;30,05;155;0;NOLIM;99;;
83237;14.05.2024;0;135;98;88,1;23,2;45;29,4;29,93;85;0;NOLIM;98;;
83237;14.05.2024;0;134;98;88,4;23,1;50;29,3;29,98;81;0;NOLIM;98;;
83237;14.05.2024;0;133;94;88,9;23,5;30;25,6;27,1;52;0;NOLIM;94;;
83237;14.05.2024;0;132;97;90,2;23,4;48;29,1;30,11;47;0;NOLIM;97;;
83237;14.05.2024;0;131;104;90,9;23,7;40;30,5;29,21;45;0;NOLIM;104;;
83237;14.05.2024;0;130;95;89,9;23,5;49;28;29,36;61;0;NOLIM;95;;
83237;14.05.2024;0;129;103;90,8;23,7;45;30,9;30,02;64;0;NOLIM;103;;
83237;14.05.2024;0;128;105;90,1;23,9;35;31,5;30,09;68;0;NOLIM;105;;
83237;14.05.2024;0;127;101;89,2;23,5;40;30,3;29,98;58;0;NOLIM;101;;
83237;14.05.2024;0;126;100;88,9;23,8;42;29,5;29,46;27;0;NOLIM;100;;
83237;14.05.2024;0;125;106;88,9;23,5;46;31,1;29,41;34;0;NOLIM;106;;
83237;14.05.2024;0;124;96;87,5;23,2;47;28,8;29,81;71;0;NOLIM;96;;
83237;14.05.2024;0;123;103;88,3;23,6;41;30,7;29,69;46;0;NOLIM;103;;
83237;14.05.2024;0;122;98;87,4;23,8;36;25,1;25,55;92;0;NOLIM;98;;
83237;14.05.2024;0;121;97;87,8;22,9;50;29,6;30,42;77;0;NOLIM;97;;
83237;14.05.2024;0;120;97;88,4;23,1;50;29,1;29,97;61;0;NOLIM;97;;
83237;14.05.2024;0;119;101;88,9;23;44;30,1;29,75;65;0;NOLIM;101;;
83237;14.05.2024;0;118;95;88,6;22,8;52;28,3;29,88;103;0;NOLIM;95;;
83237;14.05.2024;0;117;101;89,8;23;44;29,8;29,47;74;0;NOLIM;101;;
83237;14.05.2024;0;116;106;89,7;23,4;35;31,8;30,04;34;0;NOLIM;106;;
83237;14.05.2024;0;115;98;88,2;22,6;41;29,9;30,45;57;0;NOLIM;98;;
83237;14.05.2024;0;114;108;88,6;22,1;38;32,4;29,93;48;0;NOLIM;108;;
83237;14.05.2024;0;113;99;86,9;20,8;48;29,8;30,19;107;0;NOLIM;99;;
83237;14.05.2024;0;112;94;87,1;20,8;51;28,9;30,7;77;0;NOLIM;94;;
83237;14.05.2024;0;111;96;88,5;20,8;54;28,1;29,33;59;0;NOLIM;96;;
83237;14.05.2024;0;110;99;89,3;20,5;46;29,9;30,04;65;0;NOLIM;99;;
83237;14.05.2024;0;109;100;89,5;19,5;43;30,3;30,23;91;0;NOLIM;100;;
