Historie VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Gerätenr.;22414;Hardware;2.05;Software;1.44;Protokoll;103;Pulsrate;50;Ländercode;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Seite;A;Status;0-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensornr.;Datum;Fehlerzähler;Betankungszähler;Rückführrate in %;Mittelwert der Rückführrate in %;Gastemperatur in °C;GK-Status;Gasfluß in l/min;Kraftstofffluß in l/min;Rückführrate (+);Rückführrate (-);;;;
;;;;;;;;;;;;;;;
95346;16.10.2023;1;28719;200;92,3;13,1;19;30,8;0;200;;;;;
95346;16.10.2023;0;28718;88;92,3;12,9;19;29,5;33,6;88;;;;;
95346;16.10.2023;0;28717;97;92,6;12;30;38,9;40,3;97;;;;;
95346;16.10.2023;0;28716;91;92,3;11,4;12;36,6;40,4;91;;;;;
95346;16.10.2023;0;28715;93;92,3;10,9;41;30,9;33,2;93;;;;;
95346;16.10.2023;0;28714;92;92,3;10,4;43;31,4;34,1;92;;;;;
95346;16.10.2023;0;28713;91;92,3;9;33;36,4;40;91;;;;;
95346;16.10.2023;0;28712;89;92,4;7,8;33;34,6;39;89;;;;;
95346;15.10.2023;0;28711;91;92,6;10,6;36;30,9;33,9;91;;;;;
95346;15.10.2023;0;28710;91;92,7;11,2;39;36,7;40,4;91;;;;;
95346;15.10.2023;0;28709;88;92,8;11,1;39;35,9;40,7;88;;;;;
95346;15.10.2023;0;28708;95;93,2;11,1;27;38,4;40,2;95;;;;;
95346;15.10.2023;0;28707;96;93;11;32;38,6;40,1;96;;;;;
95346;15.10.2023;0;28706;93;92,8;10,6;30;37,3;39,9;93;;;;;
95346;15.10.2023;0;28705;90;92,8;10,3;29;36,3;40,3;90;;;;;
95346;15.10.2023;0;28704;93;93;9,3;38;30,6;33;93;;;;;
95346;14.10.2023;0;28703;93;93;11,9;40;37,4;40;93;;;;;
95346;14.10.2023;0;28702;93;93;12,4;34;37,4;40,2;93;;;;;
95346;14.10.2023;0;28701;92;93;13,6;33;31,6;34,3;92;;;;;
95346;14.10.2023;0;28700;93;93,1;13,7;47;37,4;40,4;93;;;;;
95346;14.10.2023;0;28699;92;93,1;14;47;36,8;40,2;92;;;;;
95346;14.10.2023;0;28698;94;93,1;13,8;43;38;40,3;94;;;;;
95346;14.10.2023;0;28697;93;93,1;13,7;43;37,5;40,3;93;;;;;
95346;14.10.2023;0;28696;93;93,1;13,8;46;37,5;40,5;93;;;;;
95346;14.10.2023;0;28695;94;93,1;14,6;5;38;40,3;94;;;;;
95346;14.10.2023;0;28694;90;93;14,2;45;30,8;34,1;90;;;;;
95346;14.10.2023;0;28693;94;93,2;14;40;37,7;40,1;94;;;;;
95346;14.10.2023;0;28692;91;93,2;13,5;36;31,3;34,4;91;;;;;
95346;13.10.2023;0;28691;94;93,3;19,8;48;38;40,4;94;;;;;
95346;13.10.2023;0;28690;97;93,3;19,8;38;33,6;34,4;97;;;;;
95346;13.10.2023;0;28689;97;93;19,9;47;33,5;34,7;97;;;;;
95346;13.10.2023;0;28688;89;92,8;20;42;31,1;34,7;89;;;;;
95346;13.10.2023;0;28687;98;93;19,9;38;39,3;40,3;98;;;;;
95346;13.10.2023;0;28686;92;92,7;19,5;45;37,1;40,4;92;;;;;
95346;13.10.2023;0;28685;96;92,7;19,1;45;33,5;34,7;96;;;;;
95346;13.10.2023;0;28684;89;92,5;18,7;50;36,3;40,6;89;;;;;
95346;13.10.2023;0;28683;94;92,7;17,8;49;38;40,4;94;;;;;
95346;13.10.2023;0;28682;93;92,6;17,7;44;31,2;33,7;93;;;;;
95346;13.10.2023;0;28681;92;92,6;17,6;38;37,1;40,3;92;;;;;
95346;13.10.2023;0;28680;89;92,7;17,4;42;36,1;40,5;89;;;;;
95346;13.10.2023;0;28679;96;92,9;17,4;35;32,3;33,6;96;;;;;
95346;13.10.2023;0;28678;92;92,7;17,1;51;37,2;40,4;92;;;;;
95346;13.10.2023;0;28677;96;92,7;17;40;38,9;40,4;96;;;;;
95346;13.10.2023;0;28676;90;92,5;16,7;49;36,4;40,6;90;;;;;
95346;13.10.2023;0;28675;92;92,7;16,6;46;37,5;40,7;92;;;;;
