Historie VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Gerätenr.;81013;Hardware;2.08;Software;1.52;Protokoll;106;Pulsrate;50;Ländercode;49;PCM;2.0.0;FLG;17
;;;;;;;;;;;;;;;
Seite;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensornr.;Datum;Fehlerzähler;Betankungszähler;Rückführrate in %;Mittelwert der Rückführrate in %;Gastemperatur in °C;GK-Status;Gasfluß in l/min;Kraftstofffluß in l/min;Tankdauer in s;Platinentemperatur [°C];Zeit bis zum Abschalten [min];Rückführrate (+);Rückführrate (-);
;;;;;;;;;;;;;;;
96088;28.02.2024;0;13128;103;109,5;5,3;40;38,9;37,78;37;0;NOLIM;103;;
96088;28.02.2024;0;13127;101;108,7;4,9;47;38,2;37,75;64;0;NOLIM;101;;
96088;28.02.2024;0;13126;98;108,2;4,6;46;36,7;37,5;75;0;NOLIM;98;;
96088;27.02.2024;0;13125;98;108,9;9,2;49;36,8;37,67;87;0;NOLIM;98;;
96088;27.02.2024;0;13124;99;109,6;9,3;37;37,4;37,59;95;0;NOLIM;99;;
96088;27.02.2024;0;13123;104;109,8;9,5;40;39,2;37,64;44;0;NOLIM;104;;
96088;27.02.2024;0;13122;99;108,7;9,4;45;38;38,38;104;0;NOLIM;99;;
96088;27.02.2024;0;13121;99;109,2;9,7;45;37,4;37,66;49;0;NOLIM;99;;
96088;27.02.2024;0;13120;99;109,3;9,6;51;37;37,54;66;0;NOLIM;99;;
96088;27.02.2024;0;13119;96;109,7;9,6;49;36;37,54;94;0;NOLIM;96;;
96088;27.02.2024;0;13118;103;110,7;9,9;34;38,5;37,42;41;0;NOLIM;103;;
96088;27.02.2024;0;13117;98;109,9;10,2;35;35,8;36,48;29;0;NOLIM;98;;
96088;27.02.2024;0;13116;102;110,5;9,9;46;38;37,1;54;0;NOLIM;102;;
96088;27.02.2024;0;13115;100;109,7;9,9;45;37,3;37,43;52;0;NOLIM;100;;
96088;27.02.2024;0;13114;95;109,9;9,8;46;35,8;37,58;74;0;NOLIM;95;;
96088;27.02.2024;0;13113;95;111,2;10,1;13;35,5;37,21;45;0;NOLIM;95;;
96088;27.02.2024;0;13112;97;111,5;9,9;57;36,5;37,56;63;0;NOLIM;97;;
96088;27.02.2024;0;13111;108;112,4;10,2;40;39,2;36,42;39;0;NOLIM;108;;
96088;27.02.2024;0;13110;95;110,5;10,2;45;36,8;38,86;62;0;NOLIM;95;;
96088;27.02.2024;0;13109;103;112;10,2;38;38,8;37,5;52;0;NOLIM;103;;
96088;27.02.2024;0;13108;98;110,9;10,2;6;36,4;36,99;61;0;NOLIM;98;;
96088;27.02.2024;0;13107;108;111,1;10,3;36;39,3;36,53;31;0;NOLIM;108;;
96088;27.02.2024;0;13106;93;109,1;9,9;48;35,1;37,64;108;0;NOLIM;93;;
96088;27.02.2024;0;13105;100;110,8;10,3;39;37,6;37,6;29;0;NOLIM;100;;
96088;27.02.2024;0;13104;106;110,7;10,2;44;39,6;37,52;40;0;NOLIM;106;;
96088;27.02.2024;0;13103;103;109,2;10,2;39;38,8;37,52;48;0;NOLIM;103;;
96088;27.02.2024;0;13102;100;108,3;10,1;49;37,4;37,3;56;0;NOLIM;100;;
96088;27.02.2024;0;13101;96;108,1;9,8;45;36,3;37,57;92;0;NOLIM;96;;
96088;27.02.2024;0;13100;97;109,1;9,9;48;36,2;37,16;59;0;NOLIM;97;;
96088;27.02.2024;0;13099;104;109,9;9,9;46;39,5;38;101;0;NOLIM;104;;
96088;27.02.2024;0;13098;98;108,8;10,1;49;36,6;37,46;49;0;NOLIM;98;;
96088;27.02.2024;0;13097;98;109,4;9,9;56;36,6;37,42;70;0;NOLIM;98;;
96088;27.02.2024;0;13096;99;110,2;9,7;48;37,1;37,6;69;0;NOLIM;99;;
96088;27.02.2024;0;13095;102;110,6;9,9;49;38,3;37,42;38;0;NOLIM;102;;
96088;27.02.2024;0;13094;100;110,1;9,7;50;37,5;37,58;60;0;NOLIM;100;;
96088;27.02.2024;0;13093;101;110,2;9,8;48;38,9;38,29;59;0;NOLIM;101;;
96088;27.02.2024;0;13092;102;109,6;9,9;39;45;44;43;0;NOLIM;102;;
96088;27.02.2024;0;13091;98;109,1;9,7;52;36,8;37,65;65;0;NOLIM;98;;
96088;27.02.2024;0;13090;104;109,8;9,9;42;39,2;37,59;38;0;NOLIM;104;;
96088;27.02.2024;0;13089;99;108,7;9,7;45;37,2;37,59;42;0;NOLIM;99;;
96088;27.02.2024;0;13088;99;109,3;9,6;47;39,9;40,14;97;0;NOLIM;99;;
96088;27.02.2024;0;13087;98;109,3;9,3;42;37;37,73;52;0;NOLIM;98;;
96088;27.02.2024;0;13086;96;109,8;9,3;41;36;37,45;96;0;NOLIM;96;;
96088;27.02.2024;0;13085;100;110,7;9,2;45;37,7;37,78;56;0;NOLIM;100;;
96088;27.02.2024;0;13084;95;110,6;9;53;36,2;37,96;85;0;NOLIM;95;;
96088;27.02.2024;0;13083;95;111,8;8,9;47;35,6;37,49;58;0;NOLIM;95;;
96088;27.02.2024;0;13082;97;113,1;8,9;47;34,3;35,43;54;0;NOLIM;97;;
96088;27.02.2024;0;13081;97;114,2;9,1;40;34,9;36,02;26;0;NOLIM;97;;
96088;27.02.2024;0;13080;105;115,2;9,1;31;38,9;36,92;35;0;NOLIM;105;;
96088;27.02.2024;0;13079;105;113,6;9,2;38;38,8;37,13;44;0;NOLIM;105;;
96088;27.02.2024;0;13078;100;112,1;8,9;4;37,4;37,46;60;0;NOLIM;100;;
96088;27.02.2024;0;13077;93;112,2;8,5;49;34,9;37,58;86;0;NOLIM;93;;
96088;27.02.2024;0;13076;115;114,2;8,4;26;42,9;37,42;135;0;NOLIM;115;;
96088;27.02.2024;0;13075;104;110,6;8,3;3;39,2;37,74;75;0;NOLIM;104;;
96088;27.02.2024;0;13074;103;110,4;8,3;25;38,6;37,47;35;0;NOLIM;103;;
96088;27.02.2024;0;13073;97;109,5;7,9;42;36,8;37,82;70;0;NOLIM;97;;
96088;27.02.2024;0;13072;115;110,3;8,1;22;42;36,36;29;0;NOLIM;115;;
96088;27.02.2024;0;13071;104;109,3;7,8;0;39,2;37,65;53;0;NOLIM;104;;
96088;27.02.2024;0;13070;102;109,1;7,9;42;37,3;36,58;34;0;NOLIM;102;;
96088;27.02.2024;0;13069;96;108,4;7,7;47;36,1;37,63;64;0;NOLIM;96;;
96088;27.02.2024;0;13068;104;109,6;7,9;39;39,4;37,79;33;0;NOLIM;104;;
96088;27.02.2024;0;13067;98;108,5;7,6;44;37,1;37,66;49;0;NOLIM;98;;
96088;27.02.2024;0;13066;96;108,9;7,3;46;35,9;37,27;68;0;NOLIM;96;;
96088;27.02.2024;0;13065;95;109,9;7,2;45;36;37,77;98;0;NOLIM;95;;
96088;27.02.2024;0;13064;101;111,2;7,5;36;38,1;37,59;30;0;NOLIM;101;;
96088;27.02.2024;0;13063;102;110,6;7,4;40;38,4;37,49;25;0;NOLIM;102;;
96088;27.02.2024;0;13062;98;109,9;7,1;42;37,3;37,86;98;0;NOLIM;98;;
96088;27.02.2024;0;13061;96;110,5;6,8;46;36,2;37,74;53;0;NOLIM;96;;
96088;27.02.2024;0;13060;94;111,6;6,5;34;35,2;37,56;56;0;NOLIM;94;;
96088;27.02.2024;0;13059;99;113,2;6,3;44;37,5;37,78;33;0;NOLIM;99;;
96088;27.02.2024;0;13058;102;113,2;6;42;39,2;38,21;48;0;NOLIM;102;;
96088;27.02.2024;0;13057;102;112,6;5,4;31;39,5;38,74;92;0;NOLIM;102;;
96088;27.02.2024;0;13056;102;111,9;5,2;41;38,3;37,47;38;0;NOLIM;102;;
96088;26.02.2024;0;13055;106;111,1;9;34;39,9;37,63;28;0;NOLIM;106;;
96088;26.02.2024;0;13054;95;109,5;8,6;45;35,9;37,58;79;0;NOLIM;95;;
96088;26.02.2024;0;13053;103;110,7;8,7;32;40,9;39,77;70;0;NOLIM;103;;
96088;26.02.2024;0;13052;97;109,9;8,9;47;36,5;37,51;57;0;NOLIM;97;;
96088;26.02.2024;0;13051;104;110,6;9,1;5;38,9;37,52;70;0;NOLIM;104;;
96088;26.02.2024;0;13050;98;110,3;9,4;53;36,6;37,51;126;0;NOLIM;98;;
96088;26.02.2024;0;13049;102;110,8;10,7;43;38,6;37,7;40;0;NOLIM;102;;
96088;26.02.2024;0;13048;105;110;11;40;39,6;37,77;25;0;NOLIM;105;;
96088;26.02.2024;0;13047;108;108,7;10,7;36;40,6;37,65;31;0;NOLIM;108;;
96088;26.02.2024;0;13046;99;106,6;10,3;45;37,2;37,48;81;0;NOLIM;99;;
96088;26.02.2024;0;13045;101;106,8;10,4;44;37,7;37,34;54;0;NOLIM;101;;
96088;26.02.2024;0;13044;98;106,7;10,1;41;36,8;37,59;85;0;NOLIM;98;;
96088;26.02.2024;0;13043;103;107,2;10,3;41;39;37,73;48;0;NOLIM;103;;
96088;26.02.2024;0;13042;94;106,3;10,1;54;35,3;37,58;87;0;NOLIM;94;;
96088;26.02.2024;0;13041;99;108,1;10,3;44;36,7;37,23;73;0;NOLIM;99;;
96088;26.02.2024;0;13040;97;108,4;10,6;13;36,2;37,24;41;0;NOLIM;97;;
96088;26.02.2024;0;13039;104;108,6;10,7;38;38,4;36,85;27;0;NOLIM;104;;
96088;26.02.2024;0;13038;105;107,4;10,5;42;39;37,21;41;0;NOLIM;105;;
96088;26.02.2024;0;13037;98;106,2;10,3;47;37;37,64;78;0;NOLIM;98;;
96088;26.02.2024;0;13036;97;106,7;10,3;50;36,9;38,15;58;0;NOLIM;97;;
