History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;25.01.2024;0;61759;97;102,5;8,5;47;35,6;36,7;97;;;;;
71725;25.01.2024;0;61758;113;103;8,4;47;41,4;36,7;113;;;;;
71725;25.01.2024;0;61757;114;101,5;8,2;46;40,8;35,9;114;;;;;
71725;25.01.2024;0;61756;98;99,8;8,1;46;37,6;38,4;98;;;;;
0;25.01.2024;0;61755;200;100;7,9;19;31,7;0;200;;;;;
71725;25.01.2024;1;61755;200;100;7,9;19;31,7;0;200;;;;;
0;25.01.2024;0;61754;163;100;7,7;19;59,5;36,4;163;;;;;
71725;25.01.2024;3;61754;163;101,6;7,7;19;59,5;36,4;163;;;;;
71725;25.01.2024;2;61753;161;101,6;7,6;19;54,6;34;161;;;;;
71725;25.01.2024;1;61752;159;101,6;7,5;5;33,9;21,3;159;;;;;
71725;25.01.2024;0;61751;113;101,6;7,2;45;43,5;38,4;113;;;;;
0;25.01.2024;0;61750;200;100;7,1;19;30,1;0;200;;;;;
71725;25.01.2024;1;61750;200;100;7,1;19;30,1;0;200;;;;;
0;25.01.2024;0;61749;135;100;0,2;19;37,3;27,6;135;;;;;
71725;12.01.2024;70;61749;135;118,2;0,2;19;37,3;27,6;;135;;;;
71725;12.01.2024;69;61748;143;118,2;0,2;11;31,6;22,1;;143;;;;
71725;12.01.2024;68;61747;140;118,2;-0,3;13;31,8;22,7;;140;;;;
71725;11.01.2024;67;61746;144;118,2;4,6;14;35,6;24,7;;144;;;;
71725;11.01.2024;66;61745;147;118,2;5,8;10;35,3;24,1;;147;;;;
71725;11.01.2024;65;61744;130;118,2;6,3;22;30,9;23,8;;130;;;;
71725;11.01.2024;64;61743;133;118,2;8;30;31,3;23,5;;133;;;;
71725;11.01.2024;63;61742;114;118,2;7,7;46;26,5;23,3;;114;;;;
71725;11.01.2024;63;61741;111;118,2;7,2;45;25,4;22,8;;111;;;;
71725;11.01.2024;63;61740;132;118,2;7,2;21;30,9;23,4;;132;;;;
71725;11.01.2024;62;61739;127;118,2;7,6;28;30,4;23,8;;127;;;;
71725;11.01.2024;61;61738;113;118,2;7,1;35;26,4;23,4;;113;;;;
71725;11.01.2024;61;61737;113;118,2;7;33;26,5;23,5;;113;;;;
71725;11.01.2024;61;61736;108;118,2;6,8;32;25,9;24,1;;108;;;;
71725;11.01.2024;61;61735;114;118,2;6,6;30;26,5;23,2;;114;;;;
71725;11.01.2024;61;61734;131;118,2;6,2;26;30,8;23,6;;131;;;;
71725;11.01.2024;60;61733;129;118,2;6,3;24;30,8;23,8;;129;;;;
71725;11.01.2024;59;61732;135;118,2;6,5;19;33;24,5;;135;;;;
71725;11.01.2024;58;61731;146;118,2;6,5;8;35,3;24,1;;146;;;;
71725;11.01.2024;57;61730;115;118,2;7;44;27,1;23,5;;115;;;;
71725;11.01.2024;57;61729;115;118,2;6,8;44;27,1;23,5;;115;;;;
71725;11.01.2024;57;61728;138;118,2;7;18;32,7;23,7;;138;;;;
71725;11.01.2024;56;61727;115;118,2;6,9;44;27,4;23,9;;115;;;;
71725;11.01.2024;56;61726;131;118,2;5,4;25;31,1;23,7;;131;;;;
71725;11.01.2024;55;61725;144;118,2;5,6;7;34,7;24;;144;;;;
71725;11.01.2024;54;61724;139;118,2;6,1;12;33,7;24,3;;139;;;;
71725;11.01.2024;53;61723;145;118,2;6,4;8;34,9;24,1;;145;;;;
71725;11.01.2024;52;61722;114;118,2;6,3;43;27,3;23,9;;114;;;;
71725;11.01.2024;52;61721;115;118,2;6,3;43;27,4;23,8;;115;;;;
71725;11.01.2024;52;61720;110;118,2;5,8;42;25,9;23,6;;110;;;;
71725;11.01.2024;52;61719;114;118,2;5,3;42;33,6;29,4;;114;;;;
71725;11.01.2024;52;61718;111;118,2;5,5;42;26,5;23,8;;111;;;;
71725;11.01.2024;52;61717;140;118,2;4,5;8;33,1;23,6;;140;;;;
71725;11.01.2024;51;61716;136;118,2;3,2;10;30,4;22,4;;136;;;;
71725;11.01.2024;50;61715;134;118,2;2,7;16;31,7;23,7;;134;;;;
71725;11.01.2024;49;61714;129;118,2;1,4;22;31,2;24,2;;129;;;;
71725;11.01.2024;48;61713;131;118,2;1,1;22;31,5;24,1;;131;;;;
71725;11.01.2024;47;61712;145;118,2;-0,9;5;36,4;25,2;;145;;;;
