History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;18035;Hardware;2.05;Software;1.37;Protocol;102;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;0-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
92580;23.01.2024;0;39476;115;100,7;8,6;47;43,1;37,5;115;;;;;
92580;23.01.2024;0;39475;94;99,7;7,9;27;35;37,1;94;;;;;
92580;23.01.2024;1;39474;200;100,1;7,8;0;34,9;0;200;;;;;
92580;23.01.2024;0;39473;102;100,1;7,3;41;39,2;38,4;102;;;;;
0;23.01.2024;0;39472;117;100;3,7;53;43,6;37,4;117;;;;;
92580;10.01.2024;36;39472;117;117,8;3,7;53;43,6;37,4;;117;;;;
92580;10.01.2024;35;39471;117;117,9;3;43;44,2;37,7;;117;;;;
92580;10.01.2024;34;39470;130;117,9;0,7;25;48,9;37,6;;130;;;;
92580;10.01.2024;33;39469;135;117,9;-3;18;50,7;37,7;;135;;;;
92580;09.01.2024;32;39468;111;117,9;2,4;38;33,7;30,4;;111;;;;
92580;09.01.2024;32;39467;125;118,4;3,1;34;46,8;37,5;;125;;;;
92580;09.01.2024;31;39466;117;118,4;2,7;37;44,5;38;;117;;;;
92580;09.01.2024;30;39463;118;119,1;3,9;46;44;37,4;;118;;;;
92580;09.01.2024;29;39462;126;119,2;4,1;32;47,3;37,4;;126;;;;
92580;09.01.2024;28;39461;117;119,2;4;43;44,3;37,7;;117;;;;
92580;09.01.2024;27;39460;124;119,3;6;31;44,2;35,7;;124;;;;
92580;09.01.2024;26;39458;119;119,4;1;36;45;37,9;;119;;;;
92580;09.01.2024;25;39457;121;119,4;0,6;44;45,2;37,5;;121;;;;
92580;09.01.2024;24;39456;124;119,3;-2,1;39;46,3;37,4;;124;;;;
92580;08.01.2024;23;39455;128;118,9;2,3;26;48;37,6;;128;;;;
92580;08.01.2024;22;39454;120;118,9;1,8;38;46;38,3;;120;;;;
92580;08.01.2024;21;39453;122;118,9;1,6;39;45,8;37,6;;122;;;;
92580;08.01.2024;20;39452;125;118,7;2,2;34;47,5;38;;125;;;;
92580;08.01.2024;19;39450;126;118,9;1,9;40;47,2;37,6;;126;;;;
92580;08.01.2024;18;39449;118;118,9;2,2;46;44;37,4;;118;;;;
92580;08.01.2024;17;39448;124;119;2,2;36;43,3;34,9;;124;;;;
92580;08.01.2024;16;39447;122;118,6;1,3;41;45,8;37,6;;122;;;;
92580;08.01.2024;15;39446;123;118,4;1,4;39;46,1;37,4;;123;;;;
92580;08.01.2024;14;39445;124;118,1;1,2;38;46,4;37,5;;124;;;;
92580;08.01.2024;13;39444;119;117,7;0,3;37;44,7;37,7;;119;;;;
92580;07.01.2024;12;39443;121;117,6;1,5;33;46,5;38,4;;121;;;;
92580;07.01.2024;11;39442;119;117,4;1,8;40;45;37,8;;119;;;;
92580;07.01.2024;10;39441;122;117,3;1;37;46,2;37,9;122;;;;;
92580;07.01.2024;9;39440;121;117;1,1;36;45,7;37,8;121;;;;;
92580;07.01.2024;8;39439;121;116,7;-1,2;34;45;37,3;121;;;;;
92580;06.01.2024;7;39438;130;116,4;1,3;26;48,6;37,5;130;;;;;
92580;06.01.2024;6;39437;126;116,4;2,2;27;47,3;37,6;126;;;;;
92580;06.01.2024;5;39436;123;116,4;3,3;32;46,3;37,8;123;;;;;
92580;06.01.2024;4;39435;123;116;2,6;32;46,4;37,8;123;;;;;
92580;06.01.2024;3;39434;118;115,5;3;41;44,6;37,7;118;;;;;
92580;06.01.2024;2;39433;118;115,3;2,8;36;44,6;37,6;118;;;;;
92580;05.01.2024;1;39432;118;115,1;2,6;38;44,4;37,7;118;;;;;
92580;05.01.2024;0;39431;101;114,9;2,8;38;38,1;37,7;101;;;;;
92580;05.01.2024;0;39430;114;115,9;3,9;43;43,2;37,8;114;;;;;
92580;05.01.2024;0;39429;114;116;3,3;42;43,2;37,8;114;;;;;
92580;05.01.2024;0;39428;115;116,1;3;41;43,3;37,5;115;;;;;
92580;05.01.2024;0;39427;115;116,2;2,8;47;43,3;37,6;115;;;;;
92580;05.01.2024;1;39426;120;116,3;2,4;36;45,1;37,6;120;;;;;
92580;05.01.2024;0;39425;114;116;2,3;36;43,1;37,8;114;;;;;
92580;05.01.2024;2;39424;122;116,2;2,2;32;46;37,8;122;;;;;
92580;05.01.2024;1;39423;121;115,8;1,8;37;45,9;37,9;121;;;;;
