id,sensor_no,date,fault_probability,fault_prediction,fault_event,fault_active,days_since_last_fault,recovery_rate_mean,temperature_c,vapour_flow_rate,source_file,model_path,metrics_path,severity,scored_at
194,71725,2024-03-10,1.6231720482633944e-06,False,False,False,24.0,120.8,10.7,32.1,messung 15.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.601121
193,112440,2023-11-07,1.6414628560371064e-06,False,False,True,0.0,100.3,12.1,69.4,messung 5.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.600484
192,112440,2023-11-20,1.6438700472298876e-06,False,False,False,13.0,101.0,12.2,37.7,messung 4.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.599442
191,71725,2024-02-13,1.7126401260167005e-06,False,False,True,0.0,111.3,10.3,34.9,messung 17.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.598782
190,71725,2024-01-09,1.7168783283192306e-06,False,False,True,0.0,118.2,4.3,28.8,messung 9.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.598144
189,95346,2023-10-13,1.7784206714242861e-06,False,False,False,2.0,92.6,17.7,31.2,messung 3.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.597470
186,86916,2024-02-26,1.8724914585695572e-06,False,False,False,0.0,104.9,4.4,36.6,messung 18.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.594452
185,71725,2024-01-05,1.9591131656690377e-06,False,False,False,0.0,116.5,1.5,26.7,messung 9.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.593849
184,71725,2024-01-07,2.023385000651362e-06,False,False,True,0.0,118.2,3.8,29.6,messung 9.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.593177
183,112440,2023-11-06,2.0557584545471004e-06,False,False,True,0.0,100.9,12.3,73.7,messung 8.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.592514
181,95346,2023-10-12,2.1850291241834106e-06,False,False,False,1.0,92.8,17.1,37.3,messung 3.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.591313
180,83237,2024-05-14,2.1867727970510256e-06,False,False,False,0.0,88.1,23.7,30.2,messung 16.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.590706
178,71725,2024-01-03,2.21093301400418e-06,False,False,False,2.0,115.8,9.7,33.0,messung 9.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.589485
176,71841,2023-11-28,2.3056092938225543e-06,False,False,True,0.0,105.5,7.3,39.0,messung 7.csv,reports/models/fault_model_gbm.joblib,reports/fault_model_gbm_metrics.json,,2025-10-26 01:03:54.588214
