id,pcm,recovery_rate,created_at,source_file,flg,recovery_rate_mean,serial_no,side,temperature_c,hardware,status_text,vc_status,software,sensor_no,vapour_flow_rate,protocol,date,fuel_flow_rate,pulse_rate,error_counter,recovery_rate_pos,country_code,fuel_transfers,recovery_rate_neg,rec_rate_ma3,rec_rate_mean_ma3,temperature_ma3,vapour_flow_ma3,rec_rate_mean_ma7,rec_rate_mean_std3,rec_rate_mean_std7,temperature_ma7,temperature_std3,vapour_flow_ma7,vapour_flow_std3,recovery_rate_mean_lag1,recovery_rate_mean_lag3,recovery_rate_mean_diff1,recovery_rate_lag1,recovery_rate_lag3,recovery_rate_diff1,temperature_c_lag1,temperature_c_lag3,temperature_c_diff1,vapour_flow_rate_lag1,vapour_flow_rate_lag3,vapour_flow_rate_diff1,fuel_flow_rate_lag1,fuel_flow_rate_lag3,fuel_flow_rate_diff1,recovery_drop,error_delta,fault_event,fault_active,days_since_prev,days_since_last_fault,fault_event_roll7,fault_event_roll30,fault_active_roll3,fault_probability,fault_prediction
245,-1.0,138.0,2025-10-23 08:23:27.746177,messung 13.csv,17,100.0,39905,A,6.3,2.05,1-0000-0000,10,1.44,77723,48.5,103,2024-04-24,35.2,50,1,138.0,49,19973,,148.66666666666666,100.33333333333333,6.933333333333334,37.73333333333333,108.48571428571428,0.57735026918838,9.671854108947265,7.528571428571429,0.5507570547285896,36.32857142857143,12.718621518597578,100.0,102.0,0.0,200.0,108.0,-62.0,7.2,8.3,-0.9000000000000004,23.7,37.0,24.8,0.0,34.3,35.2,0.0,-1.0,False,True,0.0,0.0,1.0,1.0,2.0,3.59078646424491e-05,False
1347,-1.0,199.0,2025-10-23 08:23:28.015975,messung 7.csv,17,100.0,36870,A,1.2,2.05,1-0000-0000,26,1.43,71841,100.0,103,2023-12-05,37.3,0,1,199.0,49,25292,,199.33333333333334,100.0,-0.16666666666666666,72.36666666666667,101.88571428571427,0.0,2.1728848500157487,1.0857142857142856,1.193035344544858,53.642857142857146,35.81791916531915,100.0,101.1,0.0,199.0,109.0,0.0,-1.0,1.2,2.2,85.2,41.7,14.799999999999997,38.4,38.4,-1.1000000000000014,0.0,-1.0,False,True,0.0,0.0,1.0,1.0,3.0,6.021416432278173e-06,False
1704,-1.0,102.0,2025-10-23 08:23:28.100059,mesusng 11.csv,17,100.1,18035,A,7.3,2.05,0-0000-0000,41,1.37,92580,39.2,102,2024-01-23,38.4,0,0,102.0,49,39473,,132.0,99.96666666666665,7.666666666666667,36.36666666666667,107.75714285714287,0.23094010767089654,9.492252479936344,4.614285714285714,0.3214550253664106,42.285714285714285,2.4542480178935153,100.1,100.7,0.0,200.0,115.0,-98.0,7.8,8.6,-0.5,34.9,43.1,4.300000000000004,0.0,37.5,38.4,0.0,-1.0,False,False,0.0,0.0,1.0,4.0,1.0,6.420139563448938e-07,False
1008,-1.0,89.0,2025-10-23 08:23:27.919815,messung 3.csv,17,92.4,22414,A,7.8,2.05,0-0000-0000,33,1.44,95346,34.6,103,2023-10-16,39.0,50,0,89.0,49,28712,,90.66666666666667,92.33333333333333,9.066666666666668,34.133333333333326,92.35714285714286,0.057735026917730255,0.11338934190317106,10.628571428571428,1.301281419729589,34.042857142857144,2.5324559884297417,92.3,92.3,0.10000000000000853,91.0,93.0,-2.0,9.0,10.9,-1.2000000000000002,36.4,30.9,-1.7999999999999972,40.0,33.2,-1.0,0.10000000000000853,0.0,False,False,0.0,0.0,0.0,1.0,0.0,4.7286712381280796e-07,False
825,-1.0,108.0,2025-10-23 08:23:27.883395,messung 18.csv,17,106.4,44535,A,3.8,2.06,1-0000-0000,35,1.47,86916,40.8,104,2024-02-28,37.7,50,0,108.0,49,16018,,101.33333333333333,106.03333333333335,4.333333333333333,37.9,106.97142857142858,0.35118845842893875,1.06413389776899,5.642857142857143,0.5033222956847582,44.85714285714287,2.523885892824691,106.0,107.1,0.4000000000000057,98.0,110.0,10.0,4.4,6.0,-0.6000000000000005,36.7,41.4,4.099999999999994,37.6,37.8,0.10000000000000142,0.4000000000000057,0.0,False,False,0.0,0.0,1.0,1.0,0.0,2.6871208615650826e-07,False
441,-1.0,103.0,2025-10-23 08:23:27.793316,messung 15.csv,17,118.6,36882,A,10.1,2.05,1-0000-0000,39,1.43,71725,37.8,103,2024-03-14,36.5,0,0,103.0,49,63339,,98.66666666666667,117.83333333333333,10.366666666666669,33.93333333333333,118.1,0.7505553499470438,0.5259911279340683,10.957142857142856,0.2516611478423132,36.67142857142857,7.223111056416883,117.1,118.5,1.5,90.0,105.0,13.0,10.4,11.0,-0.3000000000000007,25.6,39.2,12.199999999999996,28.5,37.4,8.0,1.5,0.0,False,False,0.0,2.0,0.0,0.0,0.0,2.484470230800808e-07,False
632,,101.0,2025-10-23 08:23:27.833650,messung 16.csv,17,90.6,82571,A,20.6,2.08,1-0100-0000,43,1.52,83237,30.2,106,2024-05-15,29.91,100,0,101.0,49,151,,99.0,90.26666666666665,18.96666666666667,29.599999999999998,89.75714285714285,0.6658328118480045,0.6399404734222749,18.314285714285713,2.173323108360409,29.742857142857144,1.0392304845413083,90.7,89.6,-0.10000000000000853,101.0,101.0,0.0,19.8,17.2,0.8000000000000007,30.2,30.3,0.0,30.04,30.01,-0.129999999999999,-0.10000000000000853,0.0,False,False,0.0,1.0,0.0,0.0,0.0,1.2625497693676977e-07,False
6,-1.0,103.0,2025-10-23 08:23:27.684584,Messung 1.csv,17,98.7,34034,A,13.2,2.05,1-0000-0000,31,1.42,66137,31.1,103,2023-10-13,30.1,0,0,103.0,49,9400,,103.0,99.23333333333333,13.933333333333332,31.03333333333333,98.74285714285715,0.4725815626252066,0.6629659188251055,15.328571428571427,0.6658328118478316,30.74285714285714,1.101514109457231,99.6,98.9,-0.8999999999999915,107.0,95.0,-4.0,14.1,17.2,-0.9000000000000004,32.1,31.1,-1.0,30.0,32.6,0.10000000000000142,-0.8999999999999915,0.0,False,False,0.0,,0.0,0.0,0.0,1.2348064022338608e-07,False
246,-1.0,108.0,2025-10-23 08:23:27.746177,messung 13.csv,17,100.0,39905,A,11.3,2.05,1-0000-0000,14,1.44,0,37.8,103,2024-04-24,35.0,50,0,108.0,49,19972,,138.33333333333334,100.0,10.633333333333335,33.86666666666667,100.0,0.0,0.0,7.828571428571428,3.1533051443419358,37.17142857142857,8.879376855012593,100.0,100.0,0.0,200.0,135.0,-92.0,7.2,0.2,4.1000000000000005,23.7,37.3,14.099999999999998,0.0,27.6,35.0,0.0,0.0,False,False,0.0,,0.0,0.0,0.0,1.0603608170096114e-07,False
86,-1.0,108.0,2025-10-23 08:23:27.707125,messung 10.csv,17,102.8,12983,A,3.3,2.05,0-0000-0000,27,1.47,112440,40.1,104,2024-03-07,37.1,100,0,108.0,49,22938,,103.66666666666667,102.66666666666667,3.5333333333333337,38.36666666666666,102.34285714285714,0.15275252316062446,0.4429339411145124,3.9857142857142853,0.3214550253660483,37.08571428571429,1.9218047073857987,102.5,102.6,0.29999999999999716,98.0,101.0,10.0,3.4,4.0,-0.10000000000000009,36.3,37.4,3.8000000000000043,36.9,37.2,0.20000000000000284,0.29999999999999716,0.0,False,False,0.0,108.0,0.0,0.0,0.0,6.73252118597812e-08,False
