sensor_no,total_rows,alerts,fault_events,fault_active_rows,min_recovery,mean_recovery,max_temperature,error_events,first_date,last_date,alert_ratio,last_alert
0,13,0,0,0,100.0,100.0,13.4,0,2023-11-20,2024-04-24,0.0,
112440,317,231,11,231,97.8,100.28580441640379,13.5,231,2023-11-05,2024-03-07,0.7287066246056783,2023-11-20
66137,80,1,0,0,95.3,98.63875,19.8,0,2023-10-07,2023-10-13,0.0125,2023-10-11
71725,495,223,21,221,98.1,115.71757575757576,16.6,221,2023-12-27,2024-03-14,0.4505050505050505,2024-03-12
71841,78,75,3,75,99.7,103.24615384615385,9.9,75,2023-11-26,2023-12-05,0.9615384615384616,2023-12-05
74586,80,0,0,0,105.3,111.00250000000001,25.3,0,2024-07-24,2024-07-26,0.0,
77723,78,77,1,76,100.0,118.94871794871794,13.2,76,2024-04-17,2024-04-24,0.9871794871794872,2024-04-24
83237,80,80,1,1,86.9,89.57625,25.3,1,2024-05-13,2024-05-15,1.0,2024-05-15
86916,200,3,2,2,100.7,105.40950000000001,12.6,2,2024-02-22,2024-02-28,0.015,2024-02-28
92580,79,53,12,52,99.7,115.32911392405063,8.6,52,2024-01-02,2024-01-23,0.6708860759493671,2024-01-23
95346,80,80,2,2,91.4,92.5975,20.0,2,2023-10-10,2023-10-16,1.0,2023-10-16
96088,200,9,0,0,106.2,109.95299999999999,11.0,0,2024-02-26,2024-02-28,0.045,2024-02-28
